HOMOGENIZED MONTHLY VALUES

Stations
Stnr	Name	Operates from	Operates until	Altitude	Latitude	Longitude	Municipality	County	Region
18700	OSLO (R)	1937	 	94	59.9423	10.7200	Oslo	Oslo	SOUTHEASTERN NORWAY

In the table above is the homogene timeserie name and period used. R means reconstructed station timeserie.

Elements
Code	Name	Unit
TAM	Mean temperature	degC



St.no	Month	TAM
18700	07.1857	16.1
18700	08.1857	18.6
18700	09.1857	13.5
18700	10.1857	7.9
18700	11.1857	-0.2
18700	12.1857	1.5
18700	01.1858	-0.9
18700	02.1858	-1.9
18700	03.1858	0.8
18700	04.1858	5.0
18700	05.1858	10.1
18700	06.1858	17.7
18700	07.1858	17.7
18700	08.1858	17.4
18700	09.1858	13.4
18700	10.1858	5.2
18700	11.1858	-2.8
18700	12.1858	-1.8
18700	01.1859	-0.8
18700	02.1859	-0.3
18700	03.1859	1.6
18700	04.1859	3.2
18700	05.1859	12.1
18700	06.1859	16.5
18700	07.1859	18.1
18700	08.1859	16.2
18700	09.1859	11.7
18700	10.1859	5.0
18700	11.1859	0.1
18700	12.1859	-5.0
18700	01.1860	-4.9
18700	02.1860	-6.3
18700	03.1860	-2.6
18700	04.1860	3.4
18700	05.1860	9.0
18700	06.1860	14.5
18700	07.1860	16.6
18700	08.1860	13.8
18700	09.1860	10.3
18700	10.1860	5.0
18700	11.1860	-1.0
18700	12.1860	-8.9
18700	01.1861	-8.5
18700	02.1861	-1.1
18700	03.1861	0.7
18700	04.1861	4.9
18700	05.1861	7.8
18700	06.1861	17.9
18700	07.1861	16.6
18700	08.1861	15.1
18700	09.1861	10.4
18700	10.1861	7.4
18700	11.1861	-1.1
18700	12.1861	-1.3
18700	01.1862	-5.5
18700	02.1862	-7.9
18700	03.1862	-3.9
18700	04.1862	3.3
18700	05.1862	11.9
18700	06.1862	13.8
18700	07.1862	14.0
18700	08.1862	14.1
18700	09.1862	11.1
18700	10.1862	6.6
18700	11.1862	2.3
18700	12.1862	-3.2
18700	01.1863	-0.1
18700	02.1863	0.0
18700	03.1863	0.5
18700	04.1863	5.8
18700	05.1863	8.7
18700	06.1863	14.7
18700	07.1863	15.1
18700	08.1863	15.0
18700	09.1863	11.2
18700	10.1863	7.7
18700	11.1863	2.8
18700	12.1863	-1.1
18700	01.1864	-5.2
18700	02.1864	-3.2
18700	03.1864	-3.9
18700	04.1864	3.5
18700	05.1864	7.9
18700	06.1864	13.6
18700	07.1864	17.1
18700	08.1864	13.2
18700	09.1864	10.9
18700	10.1864	3.0
18700	11.1864	-2.5
18700	12.1864	-2.0
18700	01.1865	-3.2
18700	02.1865	-9.6
18700	03.1865	-3.5
18700	04.1865	4.8
18700	05.1865	11.3
18700	06.1865	13.4
18700	07.1865	16.8
18700	08.1865	14.5
18700	09.1865	12.7
18700	10.1865	3.7
18700	11.1865	2.1
18700	12.1865	0.0
18700	01.1866	0.2
18700	02.1866	-3.1
18700	03.1866	-5.4
18700	04.1866	5.2
18700	05.1866	8.8
18700	06.1866	16.3
18700	07.1866	16.4
18700	08.1866	14.9
18700	09.1866	12.4
18700	10.1866	5.6
18700	11.1866	-2.6
18700	12.1866	-2.9
18700	01.1867	-10.0
18700	02.1867	-1.8
18700	03.1867	-4.2
18700	04.1867	2.3
18700	05.1867	5.8
18700	06.1867	12.8
18700	07.1867	15.8
18700	08.1867	16.4
18700	09.1867	10.9
18700	10.1867	6.3
18700	11.1867	-0.2
18700	12.1867	-8.7
18700	01.1868	-5.5
18700	02.1868	-1.4
18700	03.1868	0.9
18700	04.1868	4.6
18700	05.1868	11.6
18700	06.1868	15.2
18700	07.1868	18.9
18700	08.1868	18.2
18700	09.1868	10.5
18700	10.1868	5.2
18700	11.1868	0.3
18700	12.1868	-1.7
18700	01.1869	-3.4
18700	02.1869	-1.4
18700	03.1869	-2.5
18700	04.1869	5.5
18700	05.1869	8.3
18700	06.1869	12.9
18700	07.1869	16.7
18700	08.1869	14.3
18700	09.1869	10.8
18700	10.1869	5.3
18700	11.1869	-2.4
18700	12.1869	-4.5
18700	01.1870	-4.0
18700	02.1870	-9.0
18700	03.1870	-1.7
18700	04.1870	4.5
18700	05.1870	10.2
18700	06.1870	14.4
18700	07.1870	17.6
18700	08.1870	16.1
18700	09.1870	10.2
18700	10.1870	4.1
18700	11.1870	0.6
18700	12.1870	-7.7
18700	01.1871	-7.2
18700	02.1871	-10.1
18700	03.1871	0.8
18700	04.1871	2.3
18700	05.1871	8.7
18700	06.1871	14.1
18700	07.1871	15.8
18700	08.1871	15.7
18700	09.1871	9.6
18700	10.1871	4.8
18700	11.1871	-1.9
18700	12.1871	-4.4
18700	01.1872	-0.2
18700	02.1872	-1.8
18700	03.1872	-0.9
18700	04.1872	5.2
18700	05.1872	10.8
18700	06.1872	15.3
18700	07.1872	18.5
18700	08.1872	14.3
18700	09.1872	10.7
18700	10.1872	7.7
18700	11.1872	2.9
18700	12.1872	-4.9
18700	01.1873	0.0
18700	02.1873	-2.1
18700	03.1873	-1.1
18700	04.1873	4.1
18700	05.1873	7.7
18700	06.1873	15.3
18700	07.1873	17.4
18700	08.1873	14.5
18700	09.1873	11.1
18700	10.1873	4.8
18700	11.1873	0.0
18700	12.1873	0.0
18700	01.1874	1.1
18700	02.1874	0.0
18700	03.1874	0.9
18700	04.1874	5.2
18700	05.1874	9.0
18700	06.1874	14.8
18700	07.1874	16.9
18700	08.1874	13.7
18700	09.1874	11.2
18700	10.1874	8.3
18700	11.1874	0.1
18700	12.1874	-7.9
18700	01.1875	-8.5
18700	02.1875	-8.0
18700	03.1875	-2.8
18700	04.1875	4.3
18700	05.1875	10.8
18700	06.1875	14.7
18700	07.1875	17.3
18700	08.1875	16.6
18700	09.1875	11.7
18700	10.1875	3.6
18700	11.1875	-2.4
18700	12.1875	-3.4
18700	01.1876	-3.6
18700	02.1876	-4.5
18700	03.1876	-1.6
18700	04.1876	3.7
18700	05.1876	9.1
18700	06.1876	16.4
18700	07.1876	17.2
18700	08.1876	16.1
18700	09.1876	10.6
18700	10.1876	5.0
18700	11.1876	-2.1
18700	12.1876	-8.9
18700	01.1877	-6.0
18700	02.1877	-7.6
18700	03.1877	-4.4
18700	04.1877	1.6
18700	05.1877	7.4
18700	06.1877	14.1
18700	07.1877	15.8
18700	08.1877	13.1
18700	09.1877	8.0
18700	10.1877	4.6
18700	11.1877	3.5
18700	12.1877	-1.4
18700	01.1878	-5.5
18700	02.1878	-0.7
18700	03.1878	0.9
18700	04.1878	6.5
18700	05.1878	10.1
18700	06.1878	15.0
18700	07.1878	16.6
18700	08.1878	16.9
18700	09.1878	12.2
18700	10.1878	8.1
18700	11.1878	-0.4
18700	12.1878	-5.6
18700	01.1879	-6.0
18700	02.1879	-7.0
18700	03.1879	-2.1
18700	04.1879	3.6
18700	05.1879	9.9
18700	06.1879	14.8
18700	07.1879	16.4
18700	08.1879	16.2
18700	09.1879	11.7
18700	10.1879	5.4
18700	11.1879	-1.1
18700	12.1879	-5.9
18700	01.1880	-4.7
18700	02.1880	-0.6
18700	03.1880	1.0
18700	04.1880	5.3
18700	05.1880	9.7
18700	06.1880	15.8
18700	07.1880	16.0
18700	08.1880	18.5
18700	09.1880	13.1
18700	10.1880	0.5
18700	11.1880	-1.0
18700	12.1880	-5.8
18700	01.1881	-8.7
18700	02.1881	-6.9
18700	03.1881	-5.4
18700	04.1881	0.3
18700	05.1881	9.5
18700	06.1881	14.6
18700	07.1881	15.6
18700	08.1881	13.6
18700	09.1881	11.2
18700	10.1881	3.4
18700	11.1881	1.8
18700	12.1881	0.5
18700	01.1882	0.0
18700	02.1882	-1.2
18700	03.1882	2.2
18700	04.1882	4.2
18700	05.1882	10.5
18700	06.1882	14.7
18700	07.1882	16.3
18700	08.1882	16.1
18700	09.1882	12.6
18700	10.1882	5.7
18700	11.1882	-1.7
18700	12.1882	-5.0
18700	01.1883	-5.1
18700	02.1883	-1.4
18700	03.1883	-3.0
18700	04.1883	5.4
18700	05.1883	10.3
18700	06.1883	15.2
18700	07.1883	17.1
18700	08.1883	15.0
18700	09.1883	10.9
18700	10.1883	5.6
18700	11.1883	2.1
18700	12.1883	-3.1
18700	01.1884	-3.1
18700	02.1884	-1.1
18700	03.1884	0.7
18700	04.1884	4.1
18700	05.1884	8.7
18700	06.1884	14.2
18700	07.1884	16.7
18700	08.1884	16.2
18700	09.1884	13.4
18700	10.1884	7.2
18700	11.1884	-0.9
18700	12.1884	-4.2
18700	01.1885	-5.8
18700	02.1885	-1.0
18700	03.1885	-0.3
