0,1169
1,1365
2,1331
3,1169
4,1169
5,1235
6,1224
7,1185
8,1156
9,1272
10,1300
11,1185
12,1169
13,1274
14,1253
15,1185
16,1184
17,1348
18,1285
19,1148
20,1169
21,1227
22,1216
23,1124
24,1200
25,1236
26,1279
27,1169
28,1158
29,1333
30,1233
31,1185
32,1214
33,1216
34,1208
35,1207
36,1184
37,1224
38,1264
39,1185
40,1161
41,1245
42,1197
43,1185
44,1169
45,1265
46,1296
47,1185
48,1160
49,1241
50,1238
51,1169
52,1174
53,1185
54,1249
55,1169
56,1184
57,1216
58,1201
59,1189
60,1184
61,1201
62,1197
63,1170
64,1169
65,1236
66,1176
67,1142
68,1195
69,1277
70,1198
71,1167
72,1173
73,1269
74,1268
75,1169
76,1197
77,1175
78,1184
79,1185
80,1200
81,1191
82,1215
83,1169
84,1184
85,1243
86,1243
87,1157
88,1169
89,1195
90,1194
91,1178
92,1216
93,1191
94,1179
95,1211
96,1185
97,1220
98,1264
99,1143
100,1184
101,1235
102,1250
103,1151
104,1214
105,1216
106,1280
107,1167
108,1238
109,1206
110,1197
111,1190
112,1187
113,1182
114,1156
115,1179
116,1153
117,1186
118,1184
119,1187
120,1185
121,1183
122,1196
123,1147
124,1191
125,1172
126,1306
127,1287
128,1370
129,1169
130,1185
131,1327
132,1169
133,1178
134,1188
135,1152
136,1298
137,1207
138,1192
139,1187
140,1190
141,1181
142,1191
143,1184
144,1184
145,1174
146,1172
147,1321
148,1229
149,1185
150,1165
151,1169
152,1250
153,1173
154,1202
155,1170
156,1185
157,1198
158,1191
159,1175
160,1186
161,1144
162,1182
163,1245
164,1181
165,1240
166,1158
167,1168
168,1177
169,1177
170,1242
171,1231
172,1184
173,1206
174,1277
175,1169
176,1185
177,1184
178,1250
179,1190
180,1169
181,1188
182,1192
183,1203
184,1183
185,1211
186,1167
187,1164
188,1187
189,1249
190,1169
191,1174
192,1175
193,1186
194,1169
195,1197
196,1184
197,1173
198,1186
199,1172
200,1192
201,1185
202,1184
203,1196
204,1183
205,1191
206,1189
207,1183
208,1177
209,1178
210,1176
211,1168
212,1219
213,1179
214,1168
215,1214
216,1197
217,1169
218,1192
219,1182
220,1229
221,1202
222,1182
223,1201
224,1190
225,1251
226,1185
227,1185
228,1197
229,1175
230,1172
231,1202
232,1169
233,1243
234,1184
235,1168
236,1292
237,1203
238,1186
239,1164
240,1248
241,1169
242,1191
243,1177
244,1196
245,1172
246,1191
247,1177
248,1194
249,1185
250,1201
251,1187
252,1197
253,1194
254,1192
255,1179
256,1187
257,1173
258,1181
259,1183
260,1192
261,1190
262,1195
263,1174
264,1252
265,1171
266,1186
267,1183
268,1189
269,1189
270,1195
271,1181
272,1168
273,1181
274,1184
275,1202
276,1184
277,1183
278,1185
279,1181
280,1169
281,1221
282,1257
283,1169
284,1182
285,1235
286,1180
287,1232
288,1220
289,1198
290,1170
