Date,Open,High,Low,Close,Adj Close,Volume
2018-01-14,null,null,null,null,null,null
2018-01-21,94.000000,95.000000,87.099998,91.000000,91.000000,293788
2018-01-28,92.599998,93.000000,86.500000,89.500000,89.500000,225044
2018-02-04,87.300003,94.000000,81.400002,86.699997,86.699997,309433
2018-02-11,90.099998,92.000000,86.099998,87.800003,87.800003,121690
2018-02-18,87.000000,89.900002,86.099998,89.900002,89.900002,171861
2018-02-25,90.000000,94.000000,84.199997,90.000000,90.000000,188509
2018-03-04,90.000000,101.599998,87.800003,94.099998,94.099998,284546
2018-03-11,95.000000,114.599998,93.099998,107.599998,107.599998,653192
2018-03-18,107.199997,108.400002,89.599998,94.000000,94.000000,649117
2018-03-25,94.599998,96.500000,90.800003,90.800003,90.800003,196544
2018-04-01,90.800003,91.099998,84.000000,85.099998,85.099998,287562
2018-04-08,85.500000,89.199997,82.000000,86.199997,86.199997,285757
2018-04-15,85.000000,89.800003,82.699997,83.000000,83.000000,284438
2018-04-22,83.000000,86.000000,65.000000,65.500000,65.500000,904883
2018-04-29,66.500000,71.300003,59.099998,69.900002,69.900002,621377
2018-05-06,70.800003,77.900002,68.000000,72.099998,72.099998,219394
2018-05-13,72.099998,81.099998,70.900002,79.900002,79.900002,234158
2018-05-20,79.900002,79.900002,75.699997,78.099998,78.099998,117744
2018-05-27,79.199997,80.000000,73.099998,79.699997,79.699997,195065
2018-06-03,79.699997,79.699997,69.000000,70.000000,70.000000,163471
2018-06-10,70.800003,88.000000,66.199997,82.000000,82.000000,440153
2018-06-17,84.099998,85.300003,79.400002,84.800003,84.800003,285638
2018-06-24,84.500000,93.000000,82.699997,89.400002,89.400002,402601
2018-07-01,85.000000,90.000000,85.000000,86.000000,86.000000,123473
2018-07-08,87.000000,87.400002,79.300003,85.000000,85.000000,166303
2018-07-15,85.000000,88.500000,82.099998,86.900002,86.900002,95196
2018-07-22,87.000000,91.800003,85.000000,90.000000,90.000000,141769
2018-07-29,90.000000,94.500000,89.000000,91.699997,91.699997,155868
2018-08-05,91.699997,92.599998,85.599998,86.400002,86.400002,85193
2018-08-12,87.199997,90.400002,82.400002,83.300003,83.300003,128077
2018-08-19,83.500000,85.800003,78.199997,78.599998,78.599998,144728
2018-08-26,80.000000,80.000000,74.000000,77.000000,77.000000,105540
2018-09-02,76.000000,79.000000,74.400002,74.900002,74.900002,88694
2018-09-09,75.000000,77.599998,71.000000,72.000000,72.000000,164237
2018-09-16,71.699997,73.800003,68.599998,70.000000,70.000000,116117
2018-09-23,70.000000,70.699997,65.800003,67.400002,67.400002,67493
2018-09-30,63.400002,68.000000,63.299999,66.099998,66.099998,92586
2018-10-07,67.699997,67.699997,53.700001,61.700001,61.700001,155572
2018-10-14,63.000000,63.799999,55.299999,58.000000,58.000000,131919
2018-10-21,57.400002,61.599998,45.299999,46.549999,46.549999,647980
2018-10-28,48.849998,48.849998,44.849998,46.900002,46.900002,270761
2018-11-04,47.000000,54.299999,46.200001,51.700001,51.700001,241096
2018-11-11,47.849998,51.500000,42.049999,43.200001,43.200001,285981
2018-11-18,42.400002,45.099998,39.349998,41.900002,41.900002,228875
2018-11-25,41.849998,48.500000,39.400002,47.950001,47.950001,485175
2018-12-02,50.000000,53.500000,46.799999,50.099998,50.099998,416287
2018-12-09,50.099998,50.200001,44.000000,47.000000,47.000000,324142
2018-12-16,47.000000,47.500000,39.950001,42.299999,42.299999,276239
2018-12-23,42.299999,43.150002,38.500000,40.599998,40.599998,55762
2018-12-30,40.599998,46.000000,40.599998,43.950001,43.950001,49288
2019-01-06,45.000000,45.000000,41.099998,42.900002,42.900002,166809
2019-01-13,41.599998,42.400002,39.549999,42.200001,42.200001,154348
